PlayerFamilyGifted_Spouse_LIKE |= Oh! What a lovely surprise!
PlayerFamilyGifted_Spouse_LIKE |= You remembered I like these! Love you!
PlayerFamilyGifted_Spouse_LIKE |= What a dear, dear spouse you are!
PlayerFamilyGifted_Spouse_LIKE |= Oh my! You make my heart flutter with these special presents.
PlayerFamilyGifted_Spouse_LIKE |= My favourite! But you already knew that, my love.
PlayerFamilyGifted_Spouse_LIKE |= I really like these! You are an absolute wonder.
PlayerFamilyGifted_Spouse_LIKE |= My favourite! Love you lots!
PlayerFamilyGifted_Spouse_DISLIKE |= You shouldn't have! I'm serious. You shouldn't have.
PlayerFamilyGifted_Spouse_DISLIKE |= Are you trying to make me hate you?
PlayerFamilyGifted_Spouse_DISLIKE |= Why would you give your loved one something like this?!
PlayerFamilyGifted_Spouse_DISLIKE |= You know I hate these!
PlayerFamilyGifted_Spouse_DISLIKE |= I am speechless.
PlayerFamilyGifted_Spouse_DISLIKE |= Are you trying to wind me up?
PlayerFamilyGifted_Spouse_DISLIKE |= Is this a joke?
PlayerFamilyGifted_Spouse_DISLIKE |= Ugh! I hate these! Why would you give me one?
PlayerFamilyGifted_Spouse_UNKNOWN |= For me? What a considerate spouse you are.
PlayerFamilyGifted_Spouse_UNKNOWN |= Oh, you shouldn't have, darling.
PlayerFamilyGifted_Spouse_UNKNOWN |= Oh, you are such a kind marriage partner.
PlayerFamilyGifted_Spouse_UNKNOWN |= Thank you my love.
PlayerFamilyGifted_Spouse_UNKNOWN |= I like your thoughtfulness.
PlayerFamilyGifted_Spouse_UNKNOWN |= I appreciate this romantic gesture.
PlayerFamilyGifted_Spouse_UNKNOWN |= Thanks darling.
PlayerFamilyGifted_Spouse_Birthday |= You remembered my birthday! I love you!
PlayerFamilyGifted_Spouse_Birthday |= A special gift on a special day! You are a love!
PlayerFamilyGifted_Spouse_Birthday |= For me? Oh it's just perfect!
PlayerFamilyGifted_Spouse_Birthday |= You remembered! Goddesses bless you, darling.
PlayerFamilyGifted_Spouse_Birthday |= For a minute I thought you had forgotten but this changes everthing.
PlayerFamilyGifted_Spouse_Birthday |= Oh! Amazing! I love you so much!

PlayerFamilyGifted_AdultKid_LIKE |= Oh nice! You are such a good parent. Very proud of you.
PlayerFamilyGifted_AdultKid_LIKE |= For me? You do know me well!
PlayerFamilyGifted_AdultKid_LIKE |= My Liked item! You checked before gifting!
PlayerFamilyGifted_AdultKid_LIKE |= Love it! Cheers for that.
PlayerFamilyGifted_AdultKid_LIKE |= Thank you very much! It's great!
PlayerFamilyGifted_AdultKid_DISLIKE |= What the fudge is this?
PlayerFamilyGifted_AdultKid_DISLIKE |= .............
PlayerFamilyGifted_AdultKid_DISLIKE |= Great parent. Not.
PlayerFamilyGifted_AdultKid_DISLIKE |= Always thought you were a bit of a dungpile, secretly.
PlayerFamilyGifted_AdultKid_DISLIKE |= Ha. Ha. Ha. Very funny.
PlayerFamilyGifted_AdultKid_UNKNOWN |= Cheers.
PlayerFamilyGifted_AdultKid_UNKNOWN |= Thanks, parent.
PlayerFamilyGifted_AdultKid_UNKNOWN |= Needed this. Thanks.
PlayerFamilyGifted_AdultKid_UNKNOWN |= Very thoughtful.
PlayerFamilyGifted_AdultKid_UNKNOWN |= Thanks. Love ya.
PlayerFamilyGifted_AdultKid_Birthday |= Oh nice one!
PlayerFamilyGifted_AdultKid_Birthday |= You remembered my big day. Love ya.
PlayerFamilyGifted_AdultKid_Birthday |= I could cry right now.
PlayerFamilyGifted_AdultKid_Birthday |= You are a superstar.
PlayerFamilyGifted_AdultKid_Birthday |= I'd forgotten it was my birthday!

PlayerFamilyGifted_Child_LIKE |= Thanks so much amazing parent!
PlayerFamilyGifted_Child_LIKE |= I love it! Love yooooooo!
PlayerFamilyGifted_Child_LIKE |= Yay!
PlayerFamilyGifted_Child_LIKE |= Ooh! Gimme! Gimme!
PlayerFamilyGifted_Child_LIKE |= Wow!
PlayerFamilyGifted_Child_DISLIKE |= Uuuugghhh!
PlayerFamilyGifted_Child_DISLIKE |= Yuck!
PlayerFamilyGifted_Child_DISLIKE |= I don't like it.
PlayerFamilyGifted_Child_DISLIKE |= That's not very nice.
PlayerFamilyGifted_Child_DISLIKE |= Why would you even?
PlayerFamilyGifted_Child_UNKNOWN |= Thank you. Love ya.
PlayerFamilyGifted_Child_UNKNOWN |= Oh for me? Nice.
PlayerFamilyGifted_Child_UNKNOWN |= Noice!
PlayerFamilyGifted_Child_UNKNOWN |= Awww thanks!
PlayerFamilyGifted_Child_UNKNOWN |= Ooooh!
PlayerFamilyGifted_Child_Birthday |= Woooooooowww! Birthday prezzie!
PlayerFamilyGifted_Child_Birthday |= HURRAY!!
PlayerFamilyGifted_Child_Birthday |= Thankyouthankyouthankyou!
PlayerFamilyGifted_Child_Birthday |= Weeeeeeeee! Great present, but I need a wee.
PlayerFamilyGifted_Child_Birthday |= Happy birthday to me!
